(/home/ege_artan/.code/Python/hypersonics) ege_artan@EgeLaptop:/mnt/c/SenkDosya/Projects/Hypersonics$ python arc/sod_passc_deneme.py --skip-fem

========  STEP 1 : FEM  ========
[INFO] --skip-fem set; reusing runs/fem/refactor/older/sod_fem_snapshots.npz as-is.

========  STEP 2 : PINN  ========
[INFO] PINN device = cuda
[INFO] 10 snapshots, 251 nodes, t in [0.1910, 0.2000], gamma = 1.4
[INFO] U_ref = [1. 1. 3.]
[INFO] FEM fingerprint = 8e8a686f051f185f
[INFO] PINN fingerprint = 4860d026fb80167a
[INFO] No PINN cache at runs/pinn/refactor/older/sod_passc_model.pt; training.
epoch   660 | L_tot 1.804e-04 | L_data 1.284e-04 | L_pde 5.204e-04 | w_data 1.00 w_pde 0.10 | lr 8.0e-04| t_elapsed 7.69 min
epoch   680 | L_tot 1.294e-04 | L_data 9.211e-05 | L_pde 3.724e-04 | w_data 1.00 w_pde 0.10 | lr 7.2e-04| t_elapsed 7.88 min
epoch   700 | L_tot 9.799e-05 | L_data 6.879e-05 | L_pde 2.920e-04 | w_data 1.00 w_pde 0.10 | lr 7.2e-04| t_elapsed 8.09 min
epoch   720 | L_tot 8.457e-05 | L_data 6.062e-05 | L_pde 2.395e-04 | w_data 1.00 w_pde 0.10 | lr 7.2e-04| t_elapsed 8.31 min
epoch   740 | L_tot 8.119e-05 | L_data 5.087e-05 | L_pde 3.032e-04 | w_data 1.00 w_pde 0.10 | lr 7.2e-04| t_elapsed 8.53 min
epoch   760 | L_tot 6.718e-05 | L_data 4.208e-05 | L_pde 2.510e-04 | w_data 1.00 w_pde 0.10 | lr 7.2e-04| t_elapsed 8.72 min
epoch   780 | L_tot 5.714e-05 | L_data 3.673e-05 | L_pde 2.041e-04 | w_data 1.00 w_pde 0.10 | lr 7.2e-04| t_elapsed 8.92 min
epoch   800 | L_tot 7.110e-05 | L_data 3.551e-05 | L_pde 3.559e-04 | w_data 1.00 w_pde 0.10 | lr 7.2e-04| t_elapsed 9.13 min
epoch   820 | L_tot 4.544e-05 | L_data 2.910e-05 | L_pde 1.633e-04 | w_data 1.00 w_pde 0.10 | lr 7.2e-04| t_elapsed 9.33 min
epoch   840 | L_tot 4.163e-05 | L_data 2.685e-05 | L_pde 1.478e-04 | w_data 1.00 w_pde 0.10 | lr 7.2e-04| t_elapsed 9.54 min
epoch   860 | L_tot 3.800e-05 | L_data 2.257e-05 | L_pde 1.542e-04 | w_data 1.00 w_pde 0.10 | lr 7.2e-04| t_elapsed 9.75 min
epoch   880 | L_tot 6.198e-04 | L_data 1.788e-04 | L_pde 4.410e-03 | w_data 1.00 w_pde 0.10 | lr 7.2e-04| t_elapsed 9.95 min
epoch   900 | L_tot 9.848e-05 | L_data 7.258e-05 | L_pde 2.590e-04 | w_data 1.00 w_pde 0.10 | lr 7.2e-04| t_elapsed 10.17 min
epoch   920 | L_tot 3.691e-05 | L_data 2.310e-05 | L_pde 1.381e-04 | w_data 1.00 w_pde 0.10 | lr 7.2e-04| t_elapsed 10.55 min
epoch   940 | L_tot 2.728e-05 | L_data 1.816e-05 | L_pde 9.124e-05 | w_data 1.00 w_pde 0.10 | lr 7.2e-04| t_elapsed 10.86 min
epoch   960 | L_tot 2.397e-05 | L_data 1.565e-05 | L_pde 8.315e-05 | w_data 1.00 w_pde 0.10 | lr 7.2e-04| t_elapsed 11.15 min
epoch   980 | L_tot 2.134e-05 | L_data 1.405e-05 | L_pde 7.286e-05 | w_data 1.00 w_pde 0.10 | lr 7.2e-04| t_elapsed 11.40 min
epoch  1000 | L_tot 2.127e-02 | L_data 3.382e-04 | L_pde 3.511e-02 | w_data 0.60 w_pde 0.60 | lr 7.2e-04| t_elapsed 11.66 min
epoch  1020 | L_tot 9.138e-04 | L_data 1.336e-03 | L_pde 1.869e-04 | w_data 0.60 w_pde 0.60 | lr 7.2e-04| t_elapsed 11.91 min
epoch  1040 | L_tot 5.611e-04 | L_data 8.543e-04 | L_pde 8.095e-05 | w_data 0.60 w_pde 0.60 | lr 7.2e-04| t_elapsed 12.17 min
epoch  1060 | L_tot 4.239e-04 | L_data 6.353e-04 | L_pde 7.131e-05 | w_data 0.60 w_pde 0.60 | lr 7.2e-04| t_elapsed 12.46 min
epoch  1080 | L_tot 3.751e-04 | L_data 5.485e-04 | L_pde 7.658e-05 | w_data 0.60 w_pde 0.60 | lr 7.2e-04| t_elapsed 12.71 min
epoch  1100 | L_tot 3.440e-04 | L_data 5.017e-04 | L_pde 7.171e-05 | w_data 0.60 w_pde 0.60 | lr 7.2e-04| t_elapsed 12.91 min
epoch  1120 | L_tot 3.125e-04 | L_data 4.517e-04 | L_pde 6.920e-05 | w_data 0.60 w_pde 0.60 | lr 7.2e-04| t_elapsed 13.13 min
epoch  1140 | L_tot 2.835e-04 | L_data 4.075e-04 | L_pde 6.508e-05 | w_data 0.60 w_pde 0.60 | lr 7.2e-04| t_elapsed 13.35 min
epoch  1160 | L_tot 2.560e-04 | L_data 3.612e-04 | L_pde 6.552e-05 | w_data 0.60 w_pde 0.60 | lr 6.5e-04| t_elapsed 13.56 min
epoch  1180 | L_tot 2.209e-04 | L_data 3.053e-04 | L_pde 6.283e-05 | w_data 0.60 w_pde 0.60 | lr 6.5e-04| t_elapsed 13.77 min
epoch  1200 | L_tot 1.989e-04 | L_data 2.725e-04 | L_pde 5.891e-05 | w_data 0.60 w_pde 0.60 | lr 6.5e-04| t_elapsed 13.97 min
epoch  1220 | L_tot 1.729e-04 | L_data 2.300e-04 | L_pde 5.813e-05 | w_data 0.60 w_pde 0.60 | lr 6.5e-04| t_elapsed 14.17 min
